whole_text,tweet_time,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_position,max_z_next5
"""The Falcon has landed."" New footage and recap of our recent launch and landing Next launch is a science mission from VAFB California on Sunday.",2016-01-12 18:21:00,0,0,1,0,0.5588,0.0029,0.4383,-0.35,-0.335,0.002,0.521,0.163,-2.219
I didn't take anyone's car and never would. Car was actually allocated to engineering test (not by me) and inadvertently sold.,2016-01-20 17:56:00,0,1,0,0,0.0167,0.6584,0.3248,2.635,-1.595,0.003,0.709,1.0,4.027
My job moonlighting as a police officer in Brazil is no longer secret,2016-02-05 17:51:00,0,0,0,0,0.1828,0.0812,0.736,-1.512,-1.021,0.002,0.541,0.323,-1.339
"Worth watching ""Nathan for You"" on Comedy Central, particularly the ""Dumb Starbucks"" and ""Mechanic/Realtor"" episodes",2016-02-18 19:23:00,0,0,0,0,0.8503,0.0046,0.1452,2.91,3.065,0.001,0.681,1.0,2.182
Worth reposting the Wait But Why piece on AI. We are at the beginning of exponential growth in digital intelligence.,2016-02-24 16:45:00,0,0,0,0,0.9321,0.0023,0.0656,1.793,1.055,0.003,0.611,0.787,1.701
Pushing launch to Friday due to extreme high altitude wind shear. Hits like a sledgehammer when going up supersonic,2016-03-01 20:48:00,0,0,0,0,0.032,0.6699,0.2981,-2.724,0.746,0.004,0.225,0.0,-0.197
Ritualized behavior? Chimps all throw rocks at the same tree by Evolution hasn't advanced much,2016-03-02 17:57:00,0,0,1,0,0.0292,0.3963,0.5745,-0.871,-0.562,0.001,0.805,0.712,0.919
#AlphaGo WINS!!!! We landed it on the moon. So proud of the team!! Respect to the amazing Lee Sedol too Congrats to DeepMind! Many experts in the field thought AI was 10 years away from achieving this.,2016-03-09 16:57:00,0,0,1,0,0.9861,0.0031,0.0108,2.705,0.469,0.001,0.725,1.0,4.573
"Incredibly inspired by the interest in Model 3. You won't be disappointed. Also, small token of appreciation coming for those who lined up.",2016-03-31 15:47:00,1,0,0,0,0.984,0.0035,0.0125,2.975,0.848,0.001,0.63,1.0,3.691
"Model 3 orders at 180,000 in 24 hours. Selling price w avg option mix prob $42k, so ~$7.5B in a day. Future of electric cars looking bright!",2016-04-01 16:11:00,1,0,0,0,0.8049,0.0046,0.1905,-2.514,1.425,0.001,0.577,0.0,4.585
"Thought it would slow way down today, but Model 3 order count is now at 198k. Recommend ordering soon, as the wait time is growing rapidly.",2016-04-01 17:23:00,1,0,0,0,0.1646,0.3314,0.504,-0.829,-0.096,0.001,0.943,0.759,2.229
"Dex will do comms, but my speeches are just a conversation w the audience. No time to rehearse & don't want to read from a prompter.",2016-04-06 16:21:00,0,1,0,0,0.069,0.3019,0.629,3.215,0.919,0.003,0.914,1.0,3.708
"Over 325k cars or ~$14B in preorders in first week. Only 5% ordered max of two, suggesting low levels of speculation.",2016-04-07 16:24:00,0,0,0,0,0.0981,0.1031,0.7987,-0.375,1.79,0.001,0.552,0.867,1.569
"Battery uses no rare Earth metals. Main ingredient is nickel, which is what's used to coat cutlery, so very non-toxic.",2016-04-07 17:01:00,0,1,0,0,0.5516,0.0314,0.417,0.465,1.09,0.001,0.503,0.145,-1.311
"Activate autopilot 4X in quick succession for psychedelic cowbell road. And, yes, we are adding more cowbell soon.",2016-04-11 17:01:00,0,0,0,0,0.4965,0.0037,0.4998,-2.665,3.209,0.003,1.992,0.0,-3.574
Simple answer is that there just aren't many used Teslas available. Demand >> supply.,2016-04-29 19:13:00,0,1,0,0,0.0445,0.4206,0.5349,2.14,-0.112,0.001,0.664,0.881,2.898
Bioweapon Defense Mode is real This is what happens when you turn it on:,2016-05-02 16:41:00,0,0,0,0,0.0963,0.0345,0.8692,2.115,0.77,0.001,0.828,0.957,2.302
Filtering particulates from air makes a significant & measurable diff to health. Wd like to credit Larry Page with turning me on to this.,2016-05-02 17:34:00,0,0,0,0,0.6443,0.0292,0.3264,-0.636,-0.392,0.001,0.862,0.37,0.365
"Launch trajectory of Japanese commercial satellite JCSat-14, enroute to 36,000 km above Earth",2016-05-06 13:52:00,0,0,0,0,0.0954,0.0148,0.8898,-2.455,-1.2,0.002,0.259,0.352,0.528
"Totally agree. Am told this will be fixed by Thurs, maybe Fri.",2016-05-17 19:37:00,0,1,0,0,0.7039,0.0194,0.2767,1.679,-2.517,0.001,0.301,0.717,3.972
"Per the letter, Tesla paid $55/hr for *additional* services, so no.",2016-05-18 19:30:00,1,1,0,0,0.0337,0.2796,0.6866,-2.615,2.32,0.001,0.267,0.0,0.725
"No prob. We care about doing what's fair & just. Don't always get it right, but intent is always there & we make amends when wrong",2016-05-18 19:47:00,0,1,0,0,0.3144,0.1078,0.5778,1.889,0.075,0.002,0.719,0.984,0.918
Ancient Mars likely saw violent tsunamis that forever altered its landscape. Great image of ancient Mars,2016-05-19 18:22:00,0,0,1,0,0.5179,0.079,0.4032,1.611,2.046,0.001,0.829,0.672,6.641
Really fun Model X review by . Best part is X racing while towing a fuel sports car,2016-05-25 14:38:00,1,0,0,0,0.9674,0.0032,0.0294,-0.239,2.427,0.001,0.804,0.575,-0.211
Just heard that Norway will ban new sales of fuel cars in 2025. What an amazingly awesome country. You guys rock!!,2016-06-03 18:52:00,0,0,0,0,0.9629,0.0076,0.0294,1.045,0.759,0.0,1.161,0.733,9.134
"Will be working at Tesla on Autopilot & Model 3 today, then aiming to pull an all-nighter and complete the master product plan",2016-07-19 16:28:00,1,0,0,0,0.355,0.0067,0.6383,0.229,0.398,0.0,1.336,0.9,3.27
Finishing off the plan while listening to the soundtrack from Gatsby. Seems appropriate...,2016-07-20 14:37:00,0,0,0,0,0.7312,0.0033,0.2655,-1.149,-0.501,0.001,0.402,0.625,0.371
Except for the tweet about large amounts of crack (actually just small amounts),2016-07-20 16:56:00,0,1,0,0,0.1126,0.1783,0.7091,2.152,-0.809,0.001,1.056,1.0,2.428
Maybe as a future optimization. Would only matter if it was extremely big.,2016-07-25 15:37:00,0,1,0,0,0.1663,0.142,0.6917,0.266,0.929,0.001,0.409,1.0,-0.075
Via : Sun-Powered Airplane Completes Historic Trip Around The World,2016-07-26 18:16:00,0,0,0,0,0.1616,0.0049,0.8336,-0.139,-0.421,0.0,0.727,0.321,0.102
Should mention that Gigafactory will be fully powered by clean energy when complete & include battery recycling,2016-07-27 17:19:00,0,0,0,0,0.4605,0.0125,0.5271,-1.707,-3.183,0.0,1.334,0.498,-2.828
Will be live streaming the Gigafactory launch party tonight. Check this eve.,2016-07-29 18:59:00,0,0,0,0,0.3277,0.003,0.6693,2.95,2.618,0.001,0.38,1.0,1.686
"Yeah. Movie still enjoyable due to some great characters, but plot & editing could've been better. Really needed more Joker+Harley.",2016-08-09 16:07:00,0,1,0,0,0.9174,0.0188,0.0638,0.409,2.188,0.0,0.56,1.0,3.719
Journalist Q&A for 30 mins and embargo ends at 12:30,2016-08-23 19:02:00,0,0,0,0,0.0522,0.0066,0.9412,-1.299,3.154,0.001,0.816,0.557,0.145
SES-10 will #launch on flight-proven Falcon-9 rocket #BeamsOnLATAM Thanks for the longstanding faith in SpaceX. We very much look forward to doing this milestone flight with you.,2016-08-30 14:29:00,0,0,1,0,0.9761,0.0016,0.0223,2.072,-1.157,0.001,0.518,0.82,0.276
"Not allowed, according to HK regulations. Happy to do it if regs change.",2016-08-31 15:43:00,0,1,0,0,0.2809,0.043,0.6761,-2.754,-3.158,0.001,0.916,0.0,-0.832
Loss of Falcon vehicle today during propellant fill operation. Originated around upper stage oxygen tank. Cause still unknown. More soon.,2016-09-01 17:07:00,0,0,0,0,0.0074,0.6921,0.3006,0.914,-2.012,0.001,0.44,0.493,-0.112
"Most likely true, but we can't yet find it on any vehicle sensors",2016-09-09 14:45:00,0,0,0,0,0.0327,0.2213,0.746,-2.437,-0.443,0.001,0.821,0.269,-2.068
